Symptom,Importance
vomiting,1.1791628660461155
headache,1.0318893805247051
back pain,0.9339458691555242
sharp abdominal pain,0.9198115977491024
nausea,0.9178806886079576
sharp chest pain,0.917009459209724
fever,0.8918126716909501
cough,0.8827500551977708
burning abdominal pain,0.7852158567990776
shortness of breath,0.7815713663828384
sore throat,0.6751844158193212
lower abdominal pain,0.6637363164938084
nasal congestion,0.649662787430845
dizziness,0.6380859366359901
side pain,0.6265116226088777
leg pain,0.6147591995474234
pelvic pain,0.6071355959311796
weakness,0.6071280546543589
arm pain,0.5773119300075272
lower body pain,0.5723469253067223
coryza,0.5418201113869678
diarrhea,0.5368538122396459
chest tightness,0.5312246359513457
neck pain,0.5295035608410196
skin rash,0.5193409197904004
low back pain,0.5179968162558712
allergic reaction,0.5070987163995748
difficulty breathing,0.5049101225069624
ear pain,0.483779278600583
chills,0.46636202169940744
loss of sensation,0.45800442855874707
decreased appetite,0.45104641017158487
heartburn,0.4505265983028472
upper abdominal pain,0.43569206308778424
blood in stool,0.43124743541841853
wheezing,0.4195019864894207
skin swelling,0.4059473671001368
shoulder pain,0.4035615201850459
abnormal appearing skin,0.3984727916431899
paresthesia,0.395283831848223
cramps and spasms,0.39023763302407266
knee pain,0.3885940167547977
problems with movement,0.38170584937054125
hip pain,0.3749826919512096
abnormal involuntary movements,0.3661514572015632
hand or finger pain,0.36556636255268793
vaginal discharge,0.3624705720491191
pain during pregnancy,0.3574151354616963
peripheral edema,0.35337839927684406
suprapubic pain,0.3511769437988418
itching of skin,0.3488196679900037
ache all over,0.3456458918332405
foot or toe pain,0.34505870566442437
retention of urine,0.33906400216206434
joint pain,0.3365899714305837
insomnia,0.32394852424342785
swollen eye,0.32211486991554233
painful urination,0.3157794666623698
intermenstrual bleeding,0.31202840158576817
depressive or psychotic symptoms,0.3110541255762003
facial pain,0.3007177873305448
problems during pregnancy,0.29939267736288877
leg swelling,0.29912110359147664
rectal bleeding,0.2954250228449298
pulling at ears,0.2911055608362598
itchiness of eye,0.2899113196228443
skin irritation,0.28843809772222206
skin lesion,0.28684527056229486
skin moles,0.281859243244917
palpitations,0.27599368325790186
wrist pain,0.27098367049320554
coughing up sputum,0.26389018896313354
fluid retention,0.26320810652714255
